standard_time,mua,ban
2015-01-01,34.95,35.15
2015-01-04,35.12,35.2
2015-01-06,34.87,34.93
2015-01-07,34.34,34.42
2015-01-08,32.98,33.12
2015-01-09,34.15,34.45
2015-01-10,33.62,33.84
2015-01-12,32.89,33.13
2015-01-13,35.26,35.36
2015-01-14,35.2,35.3
2015-01-15,35.2,35.3
2015-01-16,35.36,35.46
2015-01-17,35.5,35.6
2015-01-19,35.46,35.56
2015-01-20,35.46,35.56
2015-01-21,35.72,35.82
2015-01-22,35.61,35.71
2015-01-23,35.59,35.69
2015-01-24,35.57,35.67
2015-01-26,35.38,35.48
2015-01-27,35.32,35.42
2015-01-28,35.36,35.46
2015-01-29,35.31,35.41
2015-01-30,35.24,35.34
2015-01-31,35.33,35.43
2015-02-02,35.24,35.34
2015-02-03,35.42,35.52
2015-02-04,35.17,35.27
2015-02-05,35.0,35.13
2015-02-06,34.85,34.91
2015-02-07,34.27,34.34
2015-02-10,33.59,33.81
2015-02-11,33.56,33.78
2015-02-12,32.85,33.09
2015-02-13,35.3,35.42
2015-02-14,35.36,35.48
2015-02-16,35.6,35.8
2015-02-24,35.25,35.35
2015-02-25,35.38,35.48
2015-02-26,35.59,35.69
2015-02-27,35.42,35.55
2015-02-28,35.4,35.65
2015-03-02,35.28,35.38
2015-03-03,35.35,35.45
2015-03-04,35.16,35.26
2015-03-06,34.87,34.93
2015-03-07,34.27,34.34
2015-03-08,32.93,33.03
2015-03-09,33.97,34.25
2015-03-10,33.75,34.0
2015-03-11,33.52,33.73
2015-03-12,32.71,32.95
2015-03-13,35.24,35.34
2015-03-14,35.32,35.42
2015-03-16,35.25,35.35
2015-03-17,35.2,35.3
2015-03-18,35.18,35.28
2015-03-19,35.23,35.33
2015-03-20,35.23,35.33
2015-03-21,35.26,35.38
2015-03-23,35.26,35.36
2015-03-24,35.26,35.36
2015-03-25,35.23,35.33
2015-03-26,35.3,35.4
2015-03-27,35.23,35.33
2015-03-28,35.23,35.33
2015-03-30,35.16,35.24
2015-03-31,35.09,35.17
2015-04-02,35.21,35.31
2015-04-03,35.32,35.42
2015-04-04,35.21,35.31
2015-04-05,34.98,35.03
2015-04-06,34.82,34.88
2015-04-07,34.27,34.35
2015-04-08,32.86,32.96
2015-04-09,33.89,34.21
2015-04-11,33.33,33.56
2015-04-12,32.78,33.02
2015-04-13,35.12,35.22
2015-04-14,35.09,35.19
2015-04-15,35.09,35.19
2015-04-16,35.13,35.23
2015-04-17,35.09,35.19
2015-04-18,35.1,35.2
2015-04-20,35.03,35.13
2015-04-21,35.01,35.11
2015-04-22,35.04,35.14
2015-04-23,34.98,35.08
2015-04-24,35.0,35.1
2015-04-25,34.96,35.06
2015-04-27,34.97,35.07
2015-05-01,35.09,35.19
2015-05-02,35.23,35.33
2015-05-03,35.29,35.39
2015-05-05,34.95,35.01
2015-05-06,34.76,34.82
2015-05-08,32.8,32.92
2015-05-09,33.89,34.21
2015-05-10,33.69,33.91
2015-05-11,33.15,33.38
2015-05-12,33.0,33.25
2015-05-13,34.97,35.03
2015-05-14,35.03,35.09
2015-05-15,35.02,35.08
2015-05-16,35.04,35.1
2015-05-18,35.03,35.09
2015-05-19,34.98,35.04
2015-05-20,34.95,35.01
2015-05-21,34.95,35.01
2015-05-22,34.95,35.01
2015-05-23,34.93,34.99
2015-05-25,34.91,34.97
2015-05-26,34.88,34.94
2015-05-27,34.84,34.9
2015-05-28,34.86,34.92
2015-05-29,34.88,34.94
2015-05-30,34.89,34.95
2015-06-01,35.15,35.25
2015-06-02,35.23,35.33
2015-06-03,35.29,35.39
2015-06-04,35.26,35.36
2015-06-05,34.98,35.04
2015-06-06,34.75,34.81
2015-06-07,34.25,34.32
2015-06-08,32.75,32.87
2015-06-10,33.65,33.87
2015-06-11,33.28,33.5
2015-06-13,34.68,34.74
2015-06-15,34.66,34.72
2015-06-16,34.67,34.73
2015-06-17,34.65,34.71
2015-06-18,34.68,34.74
2015-06-19,34.66,34.76
2015-06-22,34.63,34.69
2015-06-23,34.52,34.58
2015-06-24,34.39,34.45
2015-06-25,34.33,34.4
2015-06-26,34.34,34.4
2015-06-27,34.35,34.43
2015-06-29,34.39,34.46
2015-06-30,34.39,34.46
2015-07-01,35.2,35.3
2015-07-02,35.12,35.22
2015-07-03,35.12,35.25
2015-07-04,35.18,35.28
2015-07-05,34.97,35.03
2015-07-07,34.22,34.3
2015-07-08,32.78,32.9
2015-07-09,33.92,34.18
2015-07-10,33.7,33.92
2015-07-11,33.21,33.44
2015-07-12,32.99,33.24
2015-07-13,33.93,34.0
2015-07-14,33.87,33.94
2015-07-15,33.65,33.73
2015-07-16,32.82,33.02
2015-07-17,33.25,33.5
2015-07-18,33.0,33.3
2015-07-20,32.9,33.2
2015-07-21,32.93,33.18
2015-07-22,32.92,33.1
2015-07-23,33.05,33.2
2015-07-24,32.88,33.06
2015-07-25,32.98,33.18
2015-07-27,32.96,33.09
2015-07-28,32.93,33.05
2015-07-29,32.98,33.08
2015-07-30,32.95,33.05
2015-07-31,32.94,33.04
2015-08-01,35.12,35.22
2015-08-04,35.16,35.26
2015-08-05,34.99,35.04
2015-08-06,34.71,34.77
2015-08-07,34.05,34.13
2015-08-08,32.78,32.9
2015-08-09,33.88,34.13
2015-08-10,33.65,33.87
2015-08-12,32.95,33.2
2015-08-13,34.1,34.8
2015-08-14,33.7,34.2
2015-08-15,33.75,34.25
2015-08-17,33.88,34.18
2015-08-18,33.8,34.1
2015-08-19,33.9,34.6
2015-08-20,33.9,34.55
2015-08-21,34.4,35.3
2015-08-22,34.6,35.3
2015-08-24,34.7,35.3
2015-08-25,34.6,35.15
2015-08-26,33.95,34.5
