Ngày,BTC_USD,USD_VND,VN_Index,standard_time,Gold_Price
2015-01-01,313.9,21370.0,,2015-01-01,35.05
2015-01-02,315.1,21370.0,,,
2015-01-03,282.0,,,,
2015-01-04,258.8,,,2015-01-04,35.16
2015-01-05,273.2,21370.0,544.45,,
2015-01-06,285.4,21420.0,549.66,2015-01-06,34.9
2015-01-07,297.0,21420.0,552.05,2015-01-07,34.38
2015-01-08,285.6,21360.0,553.47,2015-01-08,33.05
2015-01-09,292.8,21340.0,569.73,2015-01-09,34.3
2015-01-10,275.0,,,2015-01-10,33.730000000000004
2015-01-11,266.2,,,,
2015-01-12,267.6,21315.0,574.32,2015-01-12,33.010000000000005
2015-01-13,229.8,21315.0,580.6,2015-01-13,35.31
2015-01-14,183.2,21310.0,577.01,2015-01-14,35.25
2015-01-15,217.7,21320.0,577.74,2015-01-15,35.25
2015-01-16,206.7,21315.0,574.81,2015-01-16,35.41
2015-01-17,201.2,,,2015-01-17,35.55
2015-01-18,209.9,,,,
2015-01-19,213.2,21330.0,571.51,2015-01-19,35.510000000000005
2015-01-20,218.0,21330.0,572.22,2015-01-20,35.510000000000005
2015-01-21,225.5,21350.0,569.12,2015-01-21,35.769999999999996
2015-01-22,226.3,21330.0,574.54,2015-01-22,35.66
2015-01-23,235.0,21320.0,582.38,2015-01-23,35.64
2015-01-24,240.0,,,2015-01-24,35.620000000000005
2015-01-25,254.5,,,,
2015-01-26,274.5,21320.0,580.64,2015-01-26,35.43
2015-01-27,263.6,21320.0,579.3,2015-01-27,35.370000000000005
2015-01-28,236.1,21320.0,583.76,2015-01-28,35.41
2015-01-29,235.0,21230.0,583.28,2015-01-29,35.36
2015-01-30,229.1,21267.0,576.07,2015-01-30,35.290000000000006
2015-01-31,218.4,,,2015-01-31,35.379999999999995
2015-02-01,229.0,,,,
2015-02-02,237.8,21204.0,570.37,2015-02-02,35.290000000000006
2015-02-03,228.6,21185.0,557.47,2015-02-03,35.47
2015-02-04,227.1,21358.0,561.45,2015-02-04,35.22
2015-02-05,216.8,21234.0,567.17,2015-02-05,35.065
2015-02-06,223.2,21232.0,574.13,2015-02-06,34.879999999999995
2015-02-07,229.0,,,2015-02-07,34.30500000000001
2015-02-08,224.0,,,,
2015-02-09,221.1,21307.5,573.55,,
2015-02-10,220.9,21115.0,574.52,2015-02-10,33.7
2015-02-11,219.8,21268.0,581.76,2015-02-11,33.67
2015-02-12,222.4,21237.5,584.67,2015-02-12,32.97
2015-02-13,236.1,21300.0,587.24,2015-02-13,35.36
2015-02-14,257.2,,,2015-02-14,35.42
2015-02-15,235.9,,,,
2015-02-16,233.6,21300.0,,2015-02-16,35.7
2015-02-17,244.0,21300.0,,,
2015-02-18,236.3,21300.0,,,
2015-02-19,240.2,21300.0,,,
2015-02-20,244.5,21300.0,,,
2015-02-21,245.6,,,,
2015-02-22,236.5,,,,
2015-02-23,239.4,21300.0,,,
2015-02-24,239.7,21290.0,596.95,2015-02-24,35.3
2015-02-25,238.0,21335.0,592.66,2015-02-25,35.43
2015-02-26,236.9,21335.0,596.72,2015-02-26,35.64
2015-02-27,255.0,21320.0,592.57,2015-02-27,35.485
2015-02-28,255.7,,,2015-02-28,35.525
2015-03-01,262.4,,,,
2015-03-02,277.3,21320.0,590.73,2015-03-02,35.33
2015-03-03,283.8,21320.0,596.72,2015-03-03,35.400000000000006
2015-03-04,273.3,21335.0,600.39,2015-03-04,35.209999999999994
2015-03-05,277.7,21350.0,596.91,,
